RouteID,Average Speed_mean,Average Speed_median,Average Speed_std,Average Grade Adjusted Pace_mean,Elevation Gain_mean,Relative Effort_mean,Distance_mean,Distance_count
5.39,2.7140000000000004,2.7140000000000004,0.20788939366884485,2.9,15.0,54.0,5.39,2
5.41,3.003,3.003,,,9.9,70.0,5.41,1
5.42,3.319,3.319,,3.284,19.0,56.0,5.42,1
5.43,2.595,2.595,,,17.9,31.0,5.43,1
5.45,2.808,2.808,,2.82,25.5,36.0,5.45,1
5.46,2.887333333333333,2.852,0.344362212406259,3.202,27.400000000000002,55.5,5.46,3
5.5,2.9669999999999996,2.9669999999999996,0.12727922061357883,3.092,15.6,49.0,5.5,2
5.51,3.061,3.061,,3.092,10.0,70.0,5.51,1
5.54,3.076,3.076,,3.079,14.8,95.0,5.54,1
5.58,2.866,2.866,0.3295117600329313,2.9050000000000002,24.6,45.5,5.58,2
5.62,2.926,2.926,,,20.6,40.0,5.62,1
5.65,2.978,2.978,,3.079,70.0,17.0,5.65,1
5.66,2.576,2.576,,2.588,20.4,21.0,5.66,1
5.73,2.867,2.867,,,38.7,68.0,5.73,1
5.77,4.228,4.228,,4.271,0.0,65.0,5.77,1
5.78,2.879,2.879,,2.884,19.8,77.0,5.78,1
5.8,4.276,4.276,,4.317,0.0,56.0,5.8,1
5.82,3.3920000000000003,3.3920000000000003,1.0493464632808367,4.171,4.15,53.5,5.82,2
5.93,2.67,2.67,,,7.7,81.0,5.93,1
5.94,2.853666666666667,2.789,0.2048055988818015,3.097,17.466666666666665,71.33333333333333,5.94,3
6.0,3.8133749999999997,3.8275,0.17436246114672396,,,,6.0,8
6.01,2.573,2.573,,2.412,20.6,42.0,6.01,1
6.13,2.771,2.771,,,12.7,36.0,6.13,1
6.16,3.1189999999999998,3.1189999999999998,0.8188296526140219,2.595,18.0,43.5,6.16,2
6.19,2.8754999999999997,2.8754999999999997,0.07283199846221437,2.89,34.95,62.5,6.19,2
6.22,3.112,3.112,,3.158,29.0,84.0,6.22,1
6.25,2.787,2.787,,,33.4,84.0,6.25,1
